competitionId,competitionName,seasonId,seasonName,clubId,clubName,clubimageurl,transferkpi,estimated,intangibleAssets,tangibleAssets,financialAssets,inventory,shortTermCredit,longTermCredit,cashAndCashEquivalents,otherAssets,totalAssets,capital,shortTermDebt,longTermDebt,reservesAndProvisions,retainedEarnings,otherLiabilities,totalLiabilities,matchdays,broadcasting,commercial,revenuesFromPlayerTrading,otherIncome,totalRevenues,amortizationsAndDeprecations,personnel,costsFromPlayerTrading,otherExpenses,totalCosts,totalOperationalResult,netResultFromPlayerTrading,earningsBeforeInterestAndTaxes,financialResult,earningsBeforeTaxes,taxes,netProfit
561,Premier League,862,2024/2025,1255,Arsenal,https://cdn5.wyscout.com/photos/team/public/21_120x120.png,22.7,false,438909000.0,426581000.0,,26052000.0,126096000.0,53220000.0,61593000.0,,1132451000.0,68000.0,442850000.0,486757000.0,132006000.0,70772000.0,,1132453000.0,169239000.0,299412000.0,289512000.0,,1934000.0,760097000.0,227311000.0,381484000.0,,222691000.0,831486000.0,-71389000.0,89361000.0,17972000.0,-19456000.0,-1484000.0,-32000.0,-1516000.0
561,Premier League,862,2024/2025,1281,Aston Villa,https://cdn5.wyscout.com/photos/team/public/32_120x120.png,16.8,false,300689000.0,144237000.0,,4689000.0,327056000.0,127873000.0,9011000.0,,913555000.0,553551000.0,337054000.0,201839000.0,718360000.0,-897250000.0,,913554000.0,44871000.0,199218000.0,115139000.0,,214597000.0,573825000.0,135638000.0,319016000.0,,149625000.0,604279000.0,-30454000.0,60659000.0,30205000.0,-10330000.0,19875000.0,,19875000.0
561,Premier League,862,2024/2025,1423,Bournemouth,https://cdn5.wyscout.com/photos/team/public/1173_120x120.png,29.7,false,244445000.0,62125000.0,,800000.0,50613000.0,71921000.0,51960000.0,,481864000.0,333240000.0,163382000.0,170484000.0,81000.0,-185323000.0,,481864000.0,7412000.0,162799000.0,21973000.0,,26842000.0,219026000.0,79369000.0,174264000.0,,34409000.0,288042000.0,-69016000.0,100119000.0,31103000.0,-14726000.0,16377000.0,,16377000.0
561,Premier League,862,2024/2025,1444,Brentford,https://cdn5.wyscout.com/photos/team/public/1186_120x120.png,19.5,false,202431000.0,133037000.0,,1691000.0,45471000.0,26665000.0,2175000.0,,411470000.0,42336000.0,226248000.0,106292000.0,42621000.0,-6027000.0,,411470000.0,13614000.0,153502000.0,21293000.0,,22861000.0,211270000.0,65188000.0,143856000.0,,46222000.0,255266000.0,-43996000.0,29960000.0,-14036000.0,-8543000.0,-22579000.0,3144000.0,-19435000.0
561,Premier League,862,2024/2025,1461,Brighton,https://cdn5.wyscout.com/photos/team/public/1169_120x120.png,33,false,317801000.0,4238000.0,,3721000.0,203919000.0,17787000.0,43820000.0,,591286000.0,116000.0,543793000.0,67737000.0,12076000.0,-32435000.0,,591287000.0,30287000.0,165702000.0,24655000.0,,28025000.0,248669000.0,91575000.0,174547000.0,,79585000.0,345707000.0,-97038000.0,62602000.0,-34436000.0,-770000.0,-35206000.0,3740000.0,-31466000.0
561,Premier League,862,2024/2025,1570,Chelsea,https://cdn5.wyscout.com/photos/team/public/25_120x120.png,36.7,false,1221579000.0,164073000.0,3251000.0,2252000.0,280003000.0,69227000.0,57191000.0,,1797576000.0,2509000.0,515268000.0,236123000.0,2523580000.0,-1479904000.0,,1797576000.0,101247000.0,237159000.0,234399000.0,,583000.0,573388000.0,278328000.0,419244000.0,,238903000.0,936475000.0,-363087000.0,67573000.0,-295514000.0,-10745000.0,-306259000.0,-237000.0,-306496000.0
561,Premier League,862,2024/2025,1680,Crystal Palace,https://cdn5.wyscout.com/photos/team/public/313_120x120.png,13.9,false,187196000.0,63850000.0,,463000.0,30553000.0,,15978000.0,,298040000.0,107838000.0,266705000.0,62659000.0,74059000.0,-213221000.0,,298040000.0,18077000.0,166052000.0,35136000.0,,8645000.0,227910000.0,67182000.0,169765000.0,,41003000.0,277950000.0,-50040000.0,77110000.0,27070000.0,-17651000.0,9419000.0,-773000.0,8646000.0
561,Premier League,862,2024/2025,1803,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,9.2,false,113062000.0,951050000.0,,,103973000.0,4668000.0,92353000.0,,1265106000.0,1893000.0,334825000.0,470142000.0,1172831000.0,-714585000.0,,1265106000.0,23700000.0,150811000.0,55025000.0,,57373000.0,286909000.0,62448000.0,177451000.0,,78246000.0,318145000.0,-31236000.0,36555000.0,5319000.0,-15364000.0,-10045000.0,,-10045000.0
561,Premier League,862,2024/2025,1861,Fulham,https://cdn5.wyscout.com/photos/team/public/29_120x120.png,8.6,false,161918000.0,455504000.0,,592000.0,41693000.0,36858000.0,15884000.0,,712449000.0,204661000.0,129656000.0,195940000.0,164162000.0,,18031000.0,712450000.0,21017000.0,165223000.0,39943000.0,,1219000.0,227402000.0,77150000.0,194305000.0,,55731000.0,327186000.0,-99784000.0,47886000.0,-51898000.0,604000.0,-51294000.0,-665000.0,-51959000.0
561,Premier League,862,2024/2025,2034,Ipswich Town,https://cdn5.wyscout.com/photos/team/public/316_120x120.png,25.6,false,104451000.0,51522000.0,,2982000.0,22427000.0,,15037000.0,,196419000.0,74039000.0,72657000.0,49716000.0,80072000.0,-80066000.0,,196418000.0,12371000.0,118306000.0,40283000.0,,5025000.0,175985000.0,41806000.0,84855000.0,,56156000.0,182817000.0,-6832000.0,16940000.0,10108000.0,-5696000.0,4412000.0,,4412000.0
